time,gsr
1463089580,933
1463089586,932
1463089590,935
1463089595,932
1463089600,933
1463089606,932
1463089611,930
1463089615,939
1463089620,940
1463089625,943
1463089630,946
1463089635,949
1463089640,953
1463089645,945
1463089650,932
1463089655,944
1463089660,952
1463089665,959
1463089672,953
1463089675,957
1463089680,960
1463089685,962
1463089690,973
1463089695,974
1463089700,977
1463089705,974
1463089710,977
1463089715,974
1463089720,998
1463089740,979
1463089741,978
1463089741,983
1463089741,995
1463089745,991
1463089750,990
1463089760,992
1463089761,994
1463089765,993
1463089770,991
1463089775,993
1463089780,995
1463089785,997
1463089790,997
1463089795,1005
1463089800,1004
1463089805,1003
1463089810,1005
1463089815,1020
1463089820,1003
1463089824,1005
1463089830,1004
1463089834,1006
1463089839,1009
1463089844,1006
1463089852,1002
